"GPStime","peakFreq","snr","amplitude","centralFreq","duration","bandwidth","chisq","chisqDof","confidence","id","ifo","label","imgUrl","Q-value"
1266139159.971,269.285,17.052,5.89e-23,689.914,0.188,1270.380249,0.000,0.000,1.000,"gyYH8KBo9q","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/Ite98uUuz0/gyYH8KBo9q.png",5.657
1266139159.971,269.285,17.052,5.89e-23,689.914,0.188,1270.380249,0.000,0.000,1.000,"LYQaTK13HH","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/GnqRV2uHCL/LYQaTK13HH.png",5.657
1266139159.971,269.285,17.052,5.89e-23,689.914,0.188,1270.380249,0.000,0.000,1.000,"9Za21qKjep","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/mYijht085S/9Za21qKjep.png",5.657
1259519974.432,269.285,14.825,5.42e-23,392.121,0.063,616.844421,0.000,0.000,1.000,"SlFA5S1w9d","H1","Blip","https://ldas-jobs.ligo-wa.caltech.edu/~gravityspy/runs/O3/eMHeiGC5Bx/SlFA5S1w9d.png",5.657
1258886613.027,223.076,14.798,1.44e-22,4010.229,0.098,7880.507324,0.000,0.000,1.000,"eAi1rKlKmQ","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/fm6oafh3cX/eAi1rKlKmQ.png",5.657
1266000316.839,95.999,13.848,1.15e-22,248.315,0.219,436.402924,0.000,0.000,1.000,"hgrTNXnBoo","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/jGvA9K8IQ7/hgrTNXnBoo.png",5.657
1262795217.032,95.999,13.382,1.19e-22,374.164,0.063,673.968567,0.000,0.000,1.000,"bWgHIDau3U","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/YY2YqJJYNZ/bWgHIDau3U.png",5.657
1268558306.319,333.030,12.776,4.77e-23,460.550,0.031,811.652527,0.000,0.000,1.000,"aUYlPF5qK1","L1","Blip","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/hqS6aIJKsW/aUYlPF5qK1.png",5.657
1261317209.140,95.999,9.202,8.30e-23,256.210,0.031,420.612030,0.000,0.000,1.000,"Pla8OUZ6jd","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/JZ6VtbKZsl/Pla8OUZ6jd.png",5.657
1262809353.443,77.754,8.770,8.16e-23,175.970,0.188,260.132385,0.000,0.000,1.000,"Q73lUXn0GD","V1","Blip","https://ldas-jobs.ligo.caltech.edu/~gravityspy/runs/${RUN}/Virgo/YY2YqJJYNZ/Q73lUXn0GD.png",5.657
